DATE,DTCTLVNLNM
1971-06-01,87.0000000
1971-07-01,87.0000000
1971-08-01,87.0000000
1971-09-01,86.0000000
1971-10-01,85.0000000
1971-11-01,85.0000000
1971-12-01,86.0000000
1972-01-01,86.0000000
1972-02-01,87.0000000
1972-03-01,87.0000000
1972-04-01,87.0000000
1972-05-01,87.0000000
1972-06-01,87.0000000
1972-07-01,87.0000000
1972-08-01,87.0000000
1972-09-01,87.0000000
1972-10-01,87.0000000
1972-11-01,87.0000000
1972-12-01,87.0000000
1973-01-01,87.0000000
1973-02-01,87.0000000
1973-03-01,87.0000000
1973-04-01,86.0000000
1973-05-01,86.0000000
1973-06-01,87.0000000
1973-07-01,87.0000000
1973-08-01,87.0000000
1973-09-01,86.0000000
1973-10-01,86.0000000
1973-11-01,86.0000000
1973-12-01,86.0000000
1974-01-01,88.0000000
1974-02-01,88.0000000
1974-03-01,88.0000000
1974-04-01,88.0000000
1974-05-01,88.0000000
1974-06-01,88.0000000
1974-07-01,88.0000000
1974-08-01,88.0000000
1974-09-01,87.0000000
1974-10-01,87.0000000
1974-11-01,87.0000000
1974-12-01,86.0000000
1975-01-01,87.0000000
1975-02-01,87.0000000
1975-03-01,87.0000000
1975-04-01,86.0000000
1975-05-01,86.0000000
1975-06-01,87.0000000
1975-07-01,87.0000000
1975-08-01,87.0000000
1975-09-01,86.0000000
1975-10-01,86.0000000
1975-11-01,86.0000000
1975-12-01,86.0000000
1976-01-01,86.0000000
1976-02-01,86.0000000
1976-03-01,86.0000000
1976-04-01,86.0000000
1976-05-01,86.0000000
1976-06-01,86.0000000
1976-07-01,87.0000000
1976-08-01,88.0000000
1976-09-01,87.0000000
1976-10-01,87.0000000
1976-11-01,87.0000000
1976-12-01,87.0000000
1977-01-01,88.0000000
1977-02-01,88.0000000
1977-03-01,87.0000000
1977-04-01,87.0000000
1977-05-01,87.0000000
1977-06-01,87.0000000
1977-07-01,88.0000000
1977-08-01,88.0000000
1977-09-01,88.0000000
1977-10-01,87.0000000
1977-11-01,88.0000000
1977-12-01,88.0000000
1978-01-01,88.0000000
1978-02-01,89.0000000
1978-03-01,89.0000000
1978-04-01,89.0000000
1978-05-01,88.0000000
1978-06-01,89.0000000
1978-07-01,89.0000000
1978-08-01,89.0000000
1978-09-01,89.0000000
1978-10-01,88.0000000
1978-11-01,89.0000000
1978-12-01,89.0000000
1979-01-01,89.0000000
1979-02-01,90.0000000
1979-03-01,90.0000000
1979-04-01,89.0000000
1979-05-01,89.0000000
1979-06-01,90.0000000
1979-07-01,89.0000000
1979-08-01,89.0000000
1979-09-01,89.0000000
1979-10-01,88.0000000
1979-11-01,88.0000000
1979-12-01,88.0000000
1980-01-01,88.0000000
1980-02-01,88.0000000
1980-03-01,88.0000000
1980-04-01,87.0000000
1980-05-01,86.0000000
1980-06-01,87.0000000
1980-07-01,88.0000000
1980-08-01,88.0000000
1980-09-01,88.0000000
1980-10-01,88.0000000
1980-11-01,88.0000000
1980-12-01,87.0000000
1981-01-01,87.0000000
1981-02-01,87.0000000
1981-03-01,87.0000000
1981-04-01,87.0000000
1981-05-01,86.0000000
1981-06-01,86.0000000
1981-07-01,86.0000000
1981-08-01,85.0000000
1981-09-01,86.0000000
1981-10-01,85.0000000
1981-11-01,86.0000000
1981-12-01,85.0000000
1982-01-01,86.0000000
1982-02-01,85.0000000
1982-03-01,84.0000000
1982-04-01,85.0000000
1982-05-01,85.0000000
1982-06-01,85.0000000
1982-07-01,85.0000000
1982-08-01,85.0000000
1982-09-01,85.0000000
1982-10-01,85.0000000
1982-11-01,87.0000000
1982-12-01,87.0000000
1983-01-01,86.0000000
1983-02-01,86.0000000
1983-03-01,84.0000000
1983-04-01,86.0000000
1983-05-01,86.0000000
1983-06-01,87.0000000
1983-07-01,87.0000000
1983-08-01,87.0000000
1983-09-01,87.0000000
1983-10-01,86.0000000
1983-11-01,86.0000000
1983-12-01,87.0000000
1984-01-01,88.0000000
1984-02-01,87.0000000
1984-03-01,87.0000000
1984-04-01,88.0000000
1984-05-01,88.0000000
1984-06-01,88.0000000
1984-07-01,88.0000000
1984-08-01,88.0000000
1984-09-01,88.0000000
1984-10-01,88.0000000
1984-11-01,89.0000000
1984-12-01,89.0000000
1985-01-01,90.0000000
1985-02-01,90.0000000
1985-03-01,91.0000000
1985-04-01,91.0000000
1985-05-01,91.0000000
1985-06-01,91.0000000
1985-07-01,91.0000000
1985-08-01,91.0000000
1985-09-01,92.0000000
1985-10-01,93.0000000
1985-11-01,92.0000000
1985-12-01,92.0000000
1986-01-01,92.0000000
1986-02-01,92.0000000
1986-03-01,90.0000000
1986-04-01,89.0000000
1986-05-01,89.0000000
1986-06-01,89.0000000
1986-07-01,89.0000000
1986-08-01,90.0000000
1986-09-01,92.0000000
1986-10-01,92.0000000
1986-11-01,93.0000000
1986-12-01,93.0000000
1987-01-01,94.0000000
1987-02-01,94.0000000
1987-03-01,94.0000000
1987-04-01,94.0000000
1987-05-01,93.0000000
1987-06-01,93.0000000
1987-07-01,93.0000000
1987-08-01,93.0000000
1987-09-01,93.0000000
1987-10-01,93.0000000
1987-11-01,94.0000000
1987-12-01,93.0000000
1988-01-01,93.0000000
1988-02-01,94.0000000
1988-03-01,94.0000000
1988-04-01,94.0000000
1988-05-01,94.0000000
1988-06-01,94.0000000
1988-07-01,94.0000000
1988-08-01,94.0000000
1988-09-01,94.0000000
1988-10-01,94.0000000
1988-11-01,94.0000000
1988-12-01,94.0000000
1989-01-01,94.0000000
1989-02-01,92.0000000
1989-03-01,92.0000000
1989-04-01,91.0000000
1989-05-01,91.0000000
1989-06-01,91.0000000
1989-07-01,91.0000000
1989-08-01,90.0000000
1989-09-01,88.0000000
1989-10-01,88.0000000
1989-11-01,89.0000000
1989-12-01,89.0000000
1990-01-01,89.0000000
1990-02-01,88.0000000
1990-03-01,88.0000000
1990-04-01,87.0000000
1990-05-01,87.0000000
1990-06-01,87.0000000
1990-07-01,86.0000000
1990-08-01,86.0000000
1990-09-01,85.0000000
1990-10-01,85.0000000
1990-11-01,85.0000000
1990-12-01,85.0000000
1991-01-01,88.0000000
1991-02-01,88.0000000
1991-03-01,87.0000000
1991-04-01,87.0000000
1991-05-01,87.0000000
1991-06-01,88.0000000
1991-07-01,88.0000000
1991-08-01,88.0000000
1991-09-01,87.0000000
1991-10-01,88.0000000
1991-11-01,88.0000000
1991-12-01,88.0000000
1992-01-01,89.0000000
1992-02-01,89.0000000
1992-03-01,89.0000000
1992-04-01,89.0000000
1992-05-01,89.0000000
1992-06-01,89.0000000
1992-07-01,89.0000000
1992-08-01,90.0000000
1992-09-01,90.0000000
1992-10-01,89.0000000
1992-11-01,89.0000000
1992-12-01,90.0000000
1993-01-01,90.4100000
1993-02-01,91.0000000
1993-03-01,90.4100000
1993-04-01,90.3700000
1993-05-01,91.0000000
1993-06-01,91.1800000
1993-07-01,91.4400000
1993-08-01,91.0000000
1993-09-01,90.5700000
1993-10-01,90.0900000
1993-11-01,90.5600000
1993-12-01,90.3500000
1994-01-01,91.1400000
1994-02-01,91.4600000
1994-03-01,91.6300000
1994-04-01,92.2200000
1994-05-01,92.8400000
1994-06-01,93.6000000
1994-07-01,93.2300000
1994-08-01,93.4300000
1994-09-01,93.2100000
1994-10-01,91.7900000
1994-11-01,92.9000000
1994-12-01,92.4700000
1995-01-01,92.2400000
1995-02-01,92.3400000
1995-03-01,92.0600000
1995-04-01,92.2400000
1995-05-01,92.2200000
1995-06-01,92.0600000
1995-07-01,91.6400000
1995-08-01,92.4100000
1995-09-01,92.0600000
1995-10-01,91.5800000
1995-11-01,91.8200000
1995-12-01,91.8200000
1996-01-01,91.5700000
1996-02-01,91.2000000
1996-03-01,91.2200000
1996-04-01,91.2200000
1996-05-01,90.7900000
1996-06-01,91.1700000
1996-07-01,91.1500000
1996-08-01,91.5600000
1996-09-01,90.5800000
1996-10-01,89.0000000
1996-11-01,89.5200000
1996-12-01,90.0000000
1997-01-01,91.9100000
1997-02-01,91.6100000
1997-03-01,90.1200000
1997-04-01,91.1200000
1997-05-01,93.2000000
1997-06-01,93.4700000
1997-07-01,93.5000000
1997-08-01,93.3500000
1997-09-01,92.8500000
1997-10-01,92.0200000
1997-11-01,91.2100000
1997-12-01,91.6800000
1998-01-01,91.7400000
1998-02-01,91.9800000
1998-03-01,91.7700000
1998-04-01,90.7800000
1998-05-01,92.5400000
1998-06-01,91.0100000
1998-07-01,91.9800000
1998-08-01,93.0000000
1998-09-01,92.7200000
1998-10-01,92.4500000
1998-11-01,91.3400000
1998-12-01,90.9500000
1999-01-01,91.8800000
1999-02-01,92.0600000
1999-03-01,91.2700000
1999-04-01,91.7100000
1999-05-01,91.8300000
1999-06-01,91.8300000
1999-07-01,91.9700000
1999-08-01,91.5000000
1999-09-01,91.6300000
1999-10-01,91.6200000
1999-11-01,91.1300000
1999-12-01,90.8400000
2000-01-01,91.3800000
2000-02-01,91.8900000
2000-03-01,92.9100000
2000-04-01,93.2900000
2000-05-01,92.8800000
2000-06-01,92.2600000
2000-07-01,91.5300000
2000-08-01,91.5200000
2000-09-01,91.2400000
2000-10-01,92.8800000
2000-11-01,92.8000000
2000-12-01,90.5900000
2001-01-01,89.7300000
2001-02-01,90.6400000
2001-03-01,90.7000000
2001-04-01,90.9600000
2001-05-01,91.6800000
2001-06-01,91.0700000
2001-07-01,91.3900000
2001-08-01,91.2600000
2001-09-01,92.0700000
2001-10-01,93.8600000
2001-11-01,92.0100000
2001-12-01,90.7300000
2002-01-01,90.1500000
2002-02-01,89.0100000
2002-03-01,90.4400000
2002-04-01,92.7700000
2002-05-01,92.3800000
2002-06-01,91.5000000
2002-07-01,94.7200000
2002-08-01,96.8300000
2002-09-01,96.9400000
2002-10-01,96.2300000
2002-11-01,95.4400000
2002-12-01,95.7100000
2003-01-01,96.1400000
2003-02-01,96.9700000
2003-03-01,95.8600000
2003-04-01,97.0000000
2003-05-01,97.3300000
2003-06-01,96.8200000
2003-07-01,95.1800000
2003-08-01,93.3800000
2003-09-01,93.7900000
2003-10-01,93.5700000
2003-11-01,93.7200000
2003-12-01,94.2900000
2004-01-01,93.7900000
2004-02-01,94.3300000
2004-03-01,93.2800000
2004-04-01,93.2400000
2004-05-01,92.1300000
2004-06-01,90.7500000
2004-07-01,88.8900000
2004-08-01,84.0300000
2004-09-01,81.4100000
2004-10-01,84.8600000
2004-11-01,82.9800000
2004-12-01,84.5000000
2005-01-01,82.9300000
2005-02-01,88.6800000
2005-03-01,87.7200000
2005-04-01,87.4300000
2005-05-01,88.0500000
2005-06-01,88.4300000
2005-07-01,88.8100000
2005-08-01,88.3900000
2005-09-01,88.0700000
2005-10-01,90.1100000
2005-11-01,88.4800000
2005-12-01,87.9000000
2006-01-01,88.2000000
2006-02-01,90.3200000
2006-03-01,91.3000000
2006-04-01,90.8800000
2006-05-01,91.1700000
2006-06-01,93.5200000
2006-07-01,97.3800000
2006-08-01,95.7800000
2006-09-01,100.4000000
2006-10-01,97.4700000
2006-11-01,96.9200000
2006-12-01,94.5600000
2007-01-01,94.2000000
2007-02-01,94.3400000
2007-03-01,94.6800000
2007-04-01,95.7100000
2007-05-01,96.7400000
2007-06-01,95.2500000
2007-07-01,95.0600000
2007-08-01,95.3300000
2007-09-01,95.7800000
2007-10-01,94.7300000
2007-11-01,94.6100000
2007-12-01,94.8300000
2008-01-01,94.4300000
2008-02-01,94.8200000
2008-03-01,93.7100000
2008-04-01,93.6100000
2008-05-01,92.4500000
2008-06-01,93.1700000
2008-07-01,95.0600000
2008-08-01,88.2800000
2008-09-01,84.9000000
2008-10-01,86.0700000
2008-11-01,87.6200000
2008-12-01,85.0900000
2009-01-01,86.4800000
2009-02-01,86.3900000
2009-03-01,87.7000000
2009-04-01,89.6900000
2009-05-01,93.3900000
2009-06-01,91.4300000
2009-07-01,92.0900000
2009-08-01,86.4500000
2009-09-01,91.2200000
2009-10-01,92.6300000
2009-11-01,90.5900000
2009-12-01,91.6000000
2010-01-01,89.7700000
2010-02-01,88.6400000
2010-03-01,88.3500000
2010-04-01,88.4600000
2010-05-01,86.6300000
2010-06-01,86.9800000
2010-07-01,87.1800000
2010-08-01,86.8300000
2010-09-01,86.4900000
2010-10-01,83.3400000
2010-11-01,82.0500000
2010-12-01,81.7600000
2011-01-01,80.0200000
