Month & Year,Unemployment Rate 
Jan-70,3.9
Feb-70,4.2
Mar-70,4.4
Apr-70,4.6
May-70,4.8
Jun-70,4.9
Jul-70,5.0
Aug-70,5.1
Sep-70,5.4
Oct-70,5.5
Nov-70,5.9
Dec-70,6.1
Jan-71,5.9
Feb-71,5.9
Mar-71,6.0
Apr-71,5.9
May-71,5.9
Jun-71,5.9
Jul-71,6.0
Aug-71,6.1
Sep-71,6.0
Oct-71,5.8
Nov-71,6.0
Dec-71,6.0
Jan-72,5.8
Feb-72,5.7
Mar-72,5.8
Apr-72,5.7
May-72,5.7
Jun-72,5.7
Jul-72,5.6
Aug-72,5.6
Sep-72,5.5
Oct-72,5.6
Nov-72,5.3
Dec-72,5.2
Jan-73,4.9
Feb-73,5.0
Mar-73,4.9
Apr-73,5.0
May-73,4.9
Jun-73,4.9
Jul-73,4.8
Aug-73,4.8
Sep-73,4.8
Oct-73,4.6
Nov-73,4.8
Dec-73,4.9
Jan-74,5.1
Feb-74,5.2
Mar-74,5.1
Apr-74,5.1
May-74,5.1
Jun-74,5.4
Jul-74,5.5
Aug-74,5.5
Sep-74,5.9
Oct-74,6.0
Nov-74,6.6
Dec-74,7.2
Jan-75,8.1
Feb-75,8.1
Mar-75,8.6
Apr-75,8.8
May-75,9.0
Jun-75,8.8
Jul-75,8.6
Aug-75,8.4
Sep-75,8.4
Oct-75,8.4
Nov-75,8.3
Dec-75,8.2
Jan-76,7.9
Feb-76,7.7
Mar-76,7.6
Apr-76,7.7
May-76,7.4
Jun-76,7.6
Jul-76,7.8
Aug-76,7.8
Sep-76,7.6
Oct-76,7.7
Nov-76,7.8
Dec-76,7.8
Jan-77,7.5
Feb-77,7.6
Mar-77,7.4
Apr-77,7.2
May-77,7.0
Jun-77,7.2
Jul-77,6.9
Aug-77,7.0
Sep-77,6.8
Oct-77,6.8
Nov-77,6.8
Dec-77,6.4
Jan-78,6.4
Feb-78,6.3
Mar-78,6.3
Apr-78,6.1
May-78,6.0
Jun-78,5.9
Jul-78,6.2
Aug-78,5.9
Sep-78,6.0
Oct-78,5.8
Nov-78,5.9
Dec-78,6.0
Jan-79,5.9
Feb-79,5.9
Mar-79,5.8
Apr-79,5.8
May-79,5.6
Jun-79,5.7
Jul-79,5.7
Aug-79,6.0
Sep-79,5.9
Oct-79,6.0
Nov-79,5.9
Dec-79,6.0
Jan-80,6.3
Feb-80,6.3
Mar-80,6.3
Apr-80,6.9
May-80,7.5
Jun-80,7.6
Jul-80,7.8
Aug-80,7.7
Sep-80,7.5
Oct-80,7.5
Nov-80,7.5
Dec-80,7.2
Jan-81,7.5
Feb-81,7.4
Mar-81,7.4
Apr-81,7.2
May-81,7.5
Jun-81,7.5
Jul-81,7.2
Aug-81,7.4
Sep-81,7.6
Oct-81,7.9
Nov-81,8.3
Dec-81,8.5
Jan-82,8.6
Feb-82,8.9
Mar-82,9.0
Apr-82,9.3
May-82,9.4
Jun-82,9.6
Jul-82,9.8
Aug-82,9.8
Sep-82,10.1
Oct-82,10.4
Nov-82,10.8
Dec-82,10.8
Jan-83,10.4
Feb-83,10.4
Mar-83,10.3
Apr-83,10.2
May-83,10.1
Jun-83,10.1
Jul-83,9.4
Aug-83,9.5
Sep-83,9.2
Oct-83,8.8
Nov-83,8.5
Dec-83,8.3
Jan-84,8.0
Feb-84,7.8
Mar-84,7.8
Apr-84,7.7
May-84,7.4
Jun-84,7.2
Jul-84,7.5
Aug-84,7.5
Sep-84,7.3
Oct-84,7.4
Nov-84,7.2
Dec-84,7.3
Jan-85,7.3
Feb-85,7.2
Mar-85,7.2
Apr-85,7.3
May-85,7.2
Jun-85,7.4
Jul-85,7.4
Aug-85,7.1
Sep-85,7.1
Oct-85,7.1
Nov-85,7.0
Dec-85,7.0
Jan-86,6.7
Feb-86,7.2
Mar-86,7.2
Apr-86,7.1
May-86,7.2
Jun-86,7.2
Jul-86,7.0
Aug-86,6.9
Sep-86,7.0
Oct-86,7.0
Nov-86,6.9
Dec-86,6.6
Jan-87,6.6
Feb-87,6.6
Mar-87,6.6
Apr-87,6.3
May-87,6.3
Jun-87,6.2
Jul-87,6.1
Aug-87,6.0
Sep-87,5.9
Oct-87,6.0
Nov-87,5.8
Dec-87,5.7
Jan-88,5.7
Feb-88,5.7
Mar-88,5.7
Apr-88,5.4
May-88,5.6
Jun-88,5.4
Jul-88,5.4
Aug-88,5.6
Sep-88,5.4
Oct-88,5.4
Nov-88,5.3
Dec-88,5.3
Jan-89,5.4
Feb-89,5.2
Mar-89,5.0
Apr-89,5.2
May-89,5.2
Jun-89,5.3
Jul-89,5.2
Aug-89,5.2
Sep-89,5.3
Oct-89,5.3
Nov-89,5.4
Dec-89,5.4
Jan-90,5.4
Feb-90,5.3
Mar-90,5.2
Apr-90,5.4
May-90,5.4
Jun-90,5.2
Jul-90,5.5
Aug-90,5.7
Sep-90,5.9
Oct-90,5.9
Nov-90,6.2
Dec-90,6.3
Jan-91,6.4
Feb-91,6.6
Mar-91,6.8
Apr-91,6.7
May-91,6.9
Jun-91,6.9
Jul-91,6.8
Aug-91,6.9
Sep-91,6.9
Oct-91,7.0
Nov-91,7.0
Dec-91,7.3
Jan-92,7.3
Feb-92,7.4
Mar-92,7.4
Apr-92,7.4
May-92,7.6
Jun-92,7.8
Jul-92,7.7
Aug-92,7.6
Sep-92,7.6
Oct-92,7.3
Nov-92,7.4
Dec-92,7.4
Jan-93,7.3
Feb-93,7.1
Mar-93,7.0
Apr-93,7.1
May-93,7.1
Jun-93,7.0
Jul-93,6.9
Aug-93,6.8
Sep-93,6.7
Oct-93,6.8
Nov-93,6.6
Dec-93,6.5
Jan-94,6.6
Feb-94,6.6
Mar-94,6.5
Apr-94,6.4
May-94,6.1
Jun-94,6.1
Jul-94,6.1
Aug-94,6.0
Sep-94,5.9
Oct-94,5.8
Nov-94,5.6
Dec-94,5.5
Jan-95,5.6
Feb-95,5.4
Mar-95,5.4
Apr-95,5.8
May-95,5.6
Jun-95,5.6
Jul-95,5.7
Aug-95,5.7
Sep-95,5.6
Oct-95,5.5
Nov-95,5.6
Dec-95,5.6
Jan-96,5.6
Feb-96,5.5
Mar-96,5.5
Apr-96,5.6
May-96,5.6
Jun-96,5.3
Jul-96,5.5
Aug-96,5.1
Sep-96,5.2
Oct-96,5.2
Nov-96,5.4
Dec-96,5.4
Jan-97,5.3
Feb-97,5.2
Mar-97,5.2
Apr-97,5.1
May-97,4.9
Jun-97,5.0
Jul-97,4.9
Aug-97,4.8
Sep-97,4.9
Oct-97,4.7
Nov-97,4.6
Dec-97,4.7
Jan-98,4.6
Feb-98,4.6
Mar-98,4.7
Apr-98,4.3
May-98,4.4
Jun-98,4.5
Jul-98,4.5
Aug-98,4.5
Sep-98,4.6
Oct-98,4.5
Nov-98,4.4
Dec-98,4.4
Jan-99,4.3
Feb-99,4.4
Mar-99,4.2
Apr-99,4.3
May-99,4.2
Jun-99,4.3
Jul-99,4.3
Aug-99,4.2
Sep-99,4.2
Oct-99,4.1
Nov-99,4.1
Dec-99,4.0
Jan-00,4.0
Feb-00,4.1
Mar-00,4.0
Apr-00,3.8
May-00,4.0
Jun-00,4.0
Jul-00,4.0
Aug-00,4.1
Sep-00,3.9
Oct-00,3.9
Nov-00,3.9
Dec-00,3.9
Jan-01,4.2
Feb-01,4.2
Mar-01,4.3
Apr-01,4.4
May-01,4.3
Jun-01,4.5
Jul-01,4.6
Aug-01,4.9
Sep-01,5.0
Oct-01,5.3
Nov-01,5.5
Dec-01,5.7
Jan-02,5.7
Feb-02,5.7
Mar-02,5.7
Apr-02,5.9
May-02,5.8
Jun-02,5.8
Jul-02,5.8
Aug-02,5.7
Sep-02,5.7
Oct-02,5.7
Nov-02,5.9
Dec-02,6.0
Jan-03,5.8
Feb-03,5.9
Mar-03,5.9
Apr-03,6.0
May-03,6.1
Jun-03,6.3
Jul-03,6.2
Aug-03,6.1
Sep-03,6.1
Oct-03,6.0
Nov-03,5.8
Dec-03,5.7
Jan-04,5.7
Feb-04,5.6
Mar-04,5.8
Apr-04,5.6
May-04,5.6
Jun-04,5.6
Jul-04,5.5
Aug-04,5.4
Sep-04,5.4
Oct-04,5.5
Nov-04,5.4
Dec-04,5.4
Jan-05,5.3
Feb-05,5.4
Mar-05,5.2
Apr-05,5.2
May-05,5.1
Jun-05,5.0
Jul-05,5.0
Aug-05,4.9
Sep-05,5.0
Oct-05,5.0
Nov-05,5.0
Dec-05,4.9
Jan-06,4.7
Feb-06,4.8
Mar-06,4.7
Apr-06,4.7
May-06,4.6
Jun-06,4.6
Jul-06,4.7
Aug-06,4.7
Sep-06,4.5
Oct-06,4.4
Nov-06,4.5
Dec-06,4.4
Jan-07,4.6
Feb-07,4.5
Mar-07,4.4
Apr-07,4.5
May-07,4.4
Jun-07,4.6
Jul-07,4.7
Aug-07,4.6
Sep-07,4.7
Oct-07,4.7
Nov-07,4.7
Dec-07,5.0
Jan-08,5.0
Feb-08,4.9
Mar-08,5.1
Apr-08,5.0
May-08,5.4
Jun-08,5.6
Jul-08,5.8
Aug-08,6.1
Sep-08,6.1
Oct-08,6.5
Nov-08,6.8
Dec-08,7.3
Jan-09,7.8
Feb-09,8.3
Mar-09,8.7
Apr-09,9.0
May-09,9.4
Jun-09,9.5
Jul-09,9.5
Aug-09,9.6
Sep-09,9.8
Oct-09,10.0
Nov-09,9.9
Dec-09,9.9
Jan-10,9.8
Feb-10,9.8
Mar-10,9.9
Apr-10,9.9
May-10,9.6
Jun-10,9.4
Jul-10,9.4
Aug-10,9.5
Sep-10,9.5
Oct-10,9.4
Nov-10,9.8
Dec-10,9.3
Jan-11,9.1
Feb-11,9.0
Mar-11,9.0
Apr-11,9.1
May-11,9.0
Jun-11,9.1
Jul-11,9.0
Aug-11,9.0
Sep-11,9.0
Oct-11,8.8
Nov-11,8.6
Dec-11,8.5
Jan-12,8.3
Feb-12,8.3
Mar-12,8.2
Apr-12,8.2
May-12,8.2
Jun-12,8.2
Jul-12,8.2
Aug-12,8.1
Sep-12,7.8
Oct-12,7.8
Nov-12,7.7
Dec-12,7.9
Jan-13,8.0
Feb-13,7.7
Mar-13,7.5
Apr-13,7.6
May-13,7.5
Jun-13,7.5
Jul-13,7.3
Aug-13,7.2
Sep-13,7.2
Oct-13,7.2
Nov-13,6.9
Dec-13,6.7
Jan-14,6.6
Feb-14,6.7
Mar-14,6.7
Apr-14,6.2
May-14,6.3
Jun-14,6.1
Jul-14,6.2
Aug-14,6.1
Sep-14,5.9
Oct-14,5.7
Nov-14,5.8
Dec-14,5.6
Jan-15,5.7
Feb-15,5.5
Mar-15,5.4
Apr-15,5.4
May-15,5.6
Jun-15,5.3
Jul-15,5.2
Aug-15,5.1
Sep-15,5.0
Oct-15,5.0
Nov-15,5.1
Dec-15,5.0
Jan-16,4.8
Feb-16,4.9
Mar-16,5.0
Apr-16,5.1
May-16,4.8
Jun-16,4.9
Jul-16,4.8
Aug-16,4.9
Sep-16,5.0
Oct-16,4.9
Nov-16,4.7
Dec-16,4.7
Jan-17,4.7
Feb-17,4.6
Mar-17,4.4
Apr-17,4.5
May-17,4.4
Jun-17,4.3
Jul-17,4.3
Aug-17,4.4
Sep-17,4.2
Oct-17,4.1
Nov-17,4.2
Dec-17,4.1
Jan-18,4.0
Feb-18,4.1
Mar-18,4.0
Apr-18,4.0
May-18,3.8
Jun-18,4.0
Jul-18,3.8
Aug-18,3.8
Sep-18,3.7
Oct-18,3.8
Nov-18,3.8
Dec-18,3.9
Jan-19,4.0
Feb-19,3.8
Mar-19,3.8
Apr-19,3.7
May-19,3.7
Jun-19,3.6
Jul-19,3.6
Aug-19,3.7
Sep-19,3.5
Oct-19,3.6
Nov-19,3.6
Dec-19,3.6
Jan-20,3.5
Feb-20,3.5
Mar-20,4.4
Apr-20,14.8
May-20,13.3
Jun-20,11.1
Jul-20,10.2
Aug-20,8.4
Sep-20,7.8
Oct-20,6.9
Nov-20,6.7
Dec-20,6.7
Jan-21,6.3
Feb-21,6.2
